cmip6-id, cmip6-label, cmip6-type
cmip6.seaice, Seaice, realm
, , 
cmip6.seaice.grid, Seaice > Grid, grid
, , 
cmip6.seaice.key_properties, Seaice > Key Properties, key-properties
, , 
cmip6.seaice.dynamics, Seaice > Dynamics, process
, , 
cmip6.seaice.thermodynamics, Seaice > Thermodynamics, process
cmip6.seaice.thermodynamics.energy_conservation, Seaice > Thermodynamics > Energy Conservation, process
cmip6.seaice.thermodynamics.mass_conservation, Seaice > Thermodynamics > Mass Conservation, process
cmip6.seaice.thermodynamics.salt_conservation, Seaice > Thermodynamics > Salt Conservation, process
cmip6.seaice.thermodynamics.ice_thickness_distribution, Seaice > Thermodynamics > Ice Thickness Distribution, process
cmip6.seaice.thermodynamics.melt_ponds, Seaice > Thermodynamics > Melt Ponds, process
cmip6.seaice.thermodynamics.snow_processes, Seaice > Thermodynamics > Snow Processes, process
, , 
cmip6.seaice.radiative_processes, Seaice > Radiative Processes, process
cmip6.seaice.radiative_processes.methods, Seaice > Radiative Processes > Methods, process
